carat,cut,color,clarity,price,x
1.54,Very Good,J,SI1,7453,7.41
1.01,Very Good,E,VS2,6516,6.38
1.2,Premium,G,VS1,8056,6.72
0.3,Ideal,E,VVS1,862,4.28
1.56,Ideal,I,SI1,9788,7.45
0.32,Ideal,G,VVS2,730,4.42
0.53,Ideal,E,VS2,1813,5.22
0.73,Ideal,E,SI1,2791,5.74
0.4,Very Good,F,VS1,868,4.75
0.56,Ideal,D,SI1,1664,5.37
0.32,Premium,H,VVS1,936,4.37
0.41,Premium,E,VS1,1079,4.83
0.38,Ideal,G,VS1,1040,4.68
1.53,Premium,F,SI1,11370,7.47
1.02,Premium,H,SI2,4113,6.51
2.41,Good,I,SI2,17923,8.87
0.7,Very Good,E,VS2,2473,5.79
1.05,Premium,H,SI2,4234,6.48
0.24,Ideal,F,VVS1,678,4.03
0.7,Premium,G,VS2,2657,5.83
0.93,Very Good,D,SI2,4214,6.2
2.05,Premium,I,SI1,15837,8.24
0.32,Premium,H,VVS1,936,4.42
0.51,Premium,E,VS2,1656,5.12
1.11,Premium,G,SI1,4096,6.69
0.9,Premium,H,SI1,3387,6.09
0.7,Ideal,I,SI2,1702,5.74
1.19,Very Good,D,SI2,6157,6.84
0.3,Premium,E,SI1,526,4.28
0.3,Ideal,D,VS2,670,4.31
0.54,Ideal,J,SI1,964,5.22
0.5,Fair,H,VS1,1134,4.95
1.12,Premium,G,SI2,4084,6.67
2.01,Fair,D,SI2,16086,7.87
0.3,Premium,F,VVS2,945,4.28
1.5,Premium,F,VS1,15851,7.3
0.71,Premium,E,SI1,2552,5.78
0.55,Ideal,G,VS1,1763,5.23
0.52,Good,I,SI1,1073,5.1
1.2,Premium,D,VS2,10161,6.85
0.73,Ideal,E,SI1,2728,5.73
0.43,Ideal,I,VVS1,968,4.84
1.1,Ideal,H,SI1,4764,6.6
0.76,Ideal,H,SI1,3050,5.82
0.71,Very Good,G,VS1,2630,5.65
1.03,Good,J,I1,2220,6.64
1.02,Ideal,J,SI2,2879,6.53
0.35,Ideal,G,VVS1,1028,4.56
0.34,Good,H,SI1,490,4.44
0.7,Fair,G,VS2,2479,5.55
0.5,Ideal,F,VS2,1749,5.14
0.74,Premium,E,VS1,3357,5.76
1.11,Premium,G,SI1,5281,6.73
0.31,Premium,H,IF,949,4.39
0.4,Ideal,H,VVS1,1017,4.72
0.51,Ideal,E,VS1,1758,5.11
2.01,Good,G,SI2,15977,8.0
1.51,Ideal,I,VS2,9352,7.34
0.91,Fair,D,VS2,4765,6.24
0.5,Premium,D,VS2,1431,5.15
0.37,Premium,G,VS1,957,4.6
1.01,Very Good,G,VS1,6777,6.52
0.75,Ideal,J,SI1,2850,5.83
0.53,Premium,E,VS2,2061,5.36
0.89,Ideal,D,SI2,4192,6.22
0.9,Good,I,VVS1,4114,6.14
0.48,Premium,H,VS1,1270,5.04
0.9,Very Good,G,SI2,3445,6.21
0.9,Premium,H,I1,1599,6.32
0.56,Very Good,D,SI1,1378,5.23
0.52,Ideal,G,VS2,1586,5.15
0.74,Ideal,E,VVS2,4082,5.78
0.81,Premium,D,VS1,4284,5.94
0.71,Ideal,F,SI1,2381,5.71
1.2,Premium,J,SI2,3951,6.95
0.3,Premium,F,VS2,776,4.34
1.19,Very Good,E,SI1,5956,6.9
0.34,Premium,I,SI1,589,4.55
1.22,Ideal,D,VS2,10538,6.89
0.45,Good,E,SI1,1063,4.86
1.01,Premium,H,VS2,4559,6.45
1.38,Good,J,SI2,4598,7.06
0.92,Ideal,F,VS2,5805,6.25
0.91,Premium,E,VS1,4969,6.19
1.25,Very Good,E,SI2,6073,6.94
0.41,Ideal,I,VS2,747,4.8
0.41,Ideal,I,VVS2,894,4.81
2.11,Premium,J,SI2,12554,8.29
0.5,Ideal,E,SI1,1250,5.19
0.3,Premium,D,VS2,911,4.34
0.33,Premium,G,VVS2,752,4.44
1.32,Premium,I,VS1,4719,7.01
1.57,Ideal,I,SI2,7385,7.39
0.23,Very Good,D,VVS2,505,3.9
1.09,Premium,F,VS1,8057,6.63
0.91,Good,G,SI2,3282,6.15
1.25,Ideal,G,SI2,6300,7.0
0.29,Very Good,D,VVS2,600,4.33
1.01,Very Good,D,VS2,7001,6.45
0.56,Premium,G,SI1,1441,5.36
0.61,Ideal,G,VVS1,2544,5.39
0.71,Good,I,VVS2,2428,5.64
0.35,Ideal,D,VVS1,1167,4.52
0.34,Ideal,G,IF,974,4.52
2.01,Premium,I,SI1,12829,8.2
1.58,Premium,J,SI1,7654,7.61
1.02,Ideal,E,VS2,6704,6.58
0.3,Very Good,G,SI1,574,4.32
0.71,Ideal,F,VS2,2780,5.68
1.01,Very Good,I,SI1,4475,6.28
1.02,Ideal,G,VS2,6356,6.51
0.4,Premium,F,VS1,1050,4.69
0.32,Premium,F,VVS1,1235,4.4
0.74,Good,D,VVS1,4274,5.85
0.72,Ideal,F,VS1,3759,5.74
0.75,Ideal,H,SI1,3011,5.82
1.51,Premium,E,SI1,12644,7.52
0.53,Good,E,VS2,1422,5.26
1.25,Premium,I,SI2,5166,7.0
0.51,Very Good,E,VS1,1636,5.11
0.32,Ideal,I,VVS2,567,4.38
0.55,Ideal,H,IF,1905,5.25
1.02,Ideal,E,VS1,8545,6.45
1.2,Ideal,F,VS2,8588,6.88
1.0,Premium,E,VVS1,10134,6.59
0.3,Ideal,H,SI1,407,4.25
0.55,Premium,G,SI2,1186,5.35
0.32,Ideal,D,SI1,756,4.39
1.26,Premium,G,VS2,8113,7.04
1.22,Ideal,F,SI2,6518,6.85
0.88,Ideal,I,SI1,3264,6.04
0.52,Ideal,E,VS2,1689,5.21
0.52,Ideal,G,SI1,1352,5.18
0.9,Premium,F,SI2,3704,6.23
0.32,Ideal,D,VS1,707,4.44
0.51,Very Good,D,VS2,1599,5.05
0.84,Premium,F,SI2,2863,6.06
1.56,Ideal,H,SI2,6716,7.39
0.24,Ideal,F,VVS2,552,3.93
0.35,Premium,G,VVS2,1024,4.54
0.36,Premium,D,SI2,689,4.62
0.4,Premium,G,IF,1333,4.79
1.52,Very Good,J,SI1,7239,7.32
0.25,Very Good,I,VVS2,500,4.03
1.04,Very Good,F,VS1,8090,6.49
0.73,Ideal,F,VS1,2835,5.89
1.11,Very Good,H,SI2,4029,6.56
0.4,Premium,E,SI1,882,4.71
0.26,Ideal,E,VVS2,733,4.12
2.1,Fair,G,I1,6597,7.82
0.36,Premium,G,SI1,537,4.55
0.57,Very Good,F,VS2,1637,5.31
0.79,Ideal,H,IF,4046,5.96
0.34,Ideal,E,SI1,765,4.48
0.9,Premium,H,VS2,3629,6.23
0.9,Very Good,F,SI1,3950,6.23
0.32,Ideal,D,SI2,477,4.4
0.31,Good,D,SI2,593,4.34
0.35,Premium,G,VS1,906,4.58
0.72,Ideal,E,SI2,2398,5.76
0.73,Ideal,E,SI1,2661,5.91
0.3,Ideal,H,SI1,450,4.3
0.75,Ideal,E,SI2,3129,5.72
1.01,Fair,G,SI2,2942,6.27
1.01,Good,I,VS2,3620,6.3
0.55,Very Good,E,VVS2,2499,5.33
0.3,Ideal,E,VS2,658,4.25
1.99,Premium,G,SI2,11486,8.08
0.5,Ideal,D,VVS2,2639,5.1
0.37,Ideal,G,VS2,833,4.64
0.32,Ideal,F,VVS1,1061,4.45
0.72,Ideal,F,SI1,2920,5.78
1.09,Premium,I,VS2,5306,6.74
0.9,Very Good,G,VS2,4400,6.28
0.3,Premium,H,SI1,540,4.3
1.15,Premium,H,SI2,4830,6.75
0.32,Premium,D,SI1,756,4.42
0.5,Premium,H,SI1,1172,5.04
0.4,Premium,E,SI1,945,4.74
0.5,Ideal,G,VVS1,1865,5.08
0.83,Premium,E,SI1,3482,6.06
1.2,Premium,D,SI2,4203,6.94
0.4,Very Good,E,SI1,687,4.77
0.33,Ideal,H,VS1,579,4.44
0.54,Good,G,VS2,1637,5.42
1.01,Fair,E,SI1,5185,6.59
1.01,Fair,F,SI1,3197,6.15
0.31,Ideal,H,VVS2,625,4.32
0.4,Very Good,E,SI1,707,4.71
0.39,Ideal,F,VVS2,988,4.73
0.31,Ideal,G,VVS2,907,4.38
0.31,Ideal,H,SI1,591,4.36
0.33,Premium,I,IF,891,4.46
0.3,Very Good,H,SI1,421,4.25
0.52,Ideal,D,VS2,1919,5.19
0.41,Premium,E,VS1,1153,4.8
0.7,Ideal,G,VVS2,3205,5.74
1.09,Ideal,G,VS2,7357,6.62
1.01,Premium,G,VS1,6618,6.42
0.3,Ideal,G,VS1,776,4.34
0.5,Premium,D,SI1,1279,5.15
1.13,Premium,G,SI2,4518,6.78
0.59,Ideal,G,VVS2,2131,5.44
1.3,Good,J,SI2,5124,6.9
0.45,Very Good,G,SI2,764,4.95
0.73,Ideal,E,VS1,3311,5.8
0.41,Ideal,D,VVS2,1295,4.76
0.31,Good,G,SI1,593,4.33
1.52,Good,H,VS2,10428,7.32
0.32,Ideal,G,VVS2,730,4.4
1.26,Ideal,G,SI2,6046,7.05
1.01,Good,G,SI1,4588,6.3
0.9,Very Good,G,SI2,3353,6.11
0.76,Premium,D,SI2,2706,6.03
0.5,Ideal,G,SI1,1237,5.06
0.7,Premium,J,VS2,1940,5.73
1.21,Ideal,H,VS1,6834,6.86
1.0,Very Good,G,VVS2,7528,6.39
0.32,Premium,H,VS2,648,4.43
2.01,Fair,H,SI2,10772,7.8
1.01,Good,J,VS2,3655,6.3
0.35,Premium,F,VS2,706,4.53
1.62,Premium,F,SI1,11733,7.63
0.34,Ideal,G,VS2,765,4.55
1.2,Ideal,I,SI1,4368,6.8
0.28,Very Good,D,VVS2,777,4.21
0.41,Premium,F,VVS2,1192,4.83
0.58,Premium,E,VS1,2105,5.41
0.53,Premium,E,VS2,1908,5.33
0.47,Ideal,I,VS2,884,4.98
0.5,Premium,D,VS2,1845,5.12
0.44,Good,D,VS2,1238,4.97
0.71,Ideal,D,SI2,2416,5.68
0.3,Ideal,G,VVS1,789,4.31
0.48,Good,G,VS1,1199,5.14
0.78,Very Good,E,SI1,2565,5.84
0.34,Ideal,H,VVS2,652,4.52
1.1,Premium,H,VS1,5673,6.66
0.73,Ideal,D,VVS2,4252,5.79
1.01,Good,I,SI2,3823,6.34
0.91,Very Good,F,SI1,4049,6.08
0.32,Ideal,H,VS1,561,4.44
1.09,Ideal,F,VVS2,10246,6.55
1.01,Very Good,D,SI2,4564,6.33
2.01,Good,I,VS2,15147,7.82
1.46,Premium,G,SI2,7931,7.34
0.71,Very Good,I,VVS1,2549,5.66
0.31,Very Good,E,VVS2,710,4.37
0.98,Good,F,SI1,4226,6.68
1.25,Good,F,VS2,6440,6.76
0.4,Ideal,G,IF,1333,4.73
0.7,Good,I,SI1,1995,5.62
0.4,Very Good,E,SI1,694,4.71
0.51,Ideal,D,SI1,1569,5.11
1.12,Ideal,G,VS2,6652,6.64
0.33,Ideal,G,VVS2,730,4.46
0.36,Ideal,H,SI1,684,4.56
0.24,Very Good,F,SI1,404,4.02
1.01,Premium,G,IF,7352,6.48
1.07,Ideal,H,SI1,5281,6.6
1.21,Premium,H,SI2,5218,6.88
0.3,Good,H,VVS2,776,4.29
0.46,Ideal,H,IF,1450,4.94
0.32,Premium,H,VS1,561,4.35
0.33,Very Good,F,SI2,434,4.4
0.3,Premium,H,VVS2,605,4.29
0.51,Very Good,E,SI1,1438,5.07
1.01,Premium,F,VS2,6097,6.44
1.83,Very Good,I,VS1,13587,7.85
0.93,Good,G,SI2,3425,6.08
0.57,Very Good,G,VS1,1648,5.38
0.34,Ideal,E,VS2,745,4.45
0.32,Premium,F,SI1,638,4.43
1.01,Very Good,G,VS1,6613,6.48
1.51,Very Good,H,SI1,9218,7.3
2.08,Ideal,H,SI1,17469,8.13
1.02,Very Good,G,SI2,4291,6.46
0.51,Very Good,D,VS1,1756,5.15
1.01,Ideal,G,VS2,6855,6.46
0.33,Ideal,E,VS1,771,4.42
1.51,Very Good,I,SI1,8637,7.27
1.24,Very Good,I,SI1,5456,6.95
0.51,Premium,E,SI2,1205,5.13
1.51,Ideal,E,SI2,7272,7.27
2.0,Fair,H,SI2,10752,7.88
0.41,Premium,E,SI1,904,4.78
0.23,Very Good,H,VVS2,431,3.91
1.28,Ideal,I,SI2,5719,6.88
0.27,Ideal,H,VS1,449,4.12
0.3,Ideal,F,IF,873,4.37
1.15,Premium,G,VS1,7032,6.68
0.72,Ideal,J,VS2,2099,5.76
1.01,Good,G,SI2,3948,6.38
1.6,Premium,F,SI2,6899,7.51
0.71,Ideal,F,SI2,2667,5.69
0.4,Very Good,F,VS1,1089,4.74
0.31,Ideal,H,IF,1046,4.37
1.07,Ideal,H,VS2,5108,6.52
0.33,Ideal,F,VS2,804,4.47
0.31,Ideal,G,VS2,577,4.35
0.3,Premium,G,VS1,787,4.32
0.96,Fair,H,I1,1739,6.38
0.32,Ideal,E,I1,490,4.45
0.49,Very Good,F,SI1,1116,4.99
1.03,Premium,G,VS1,6659,6.47
1.67,Very Good,J,SI1,7911,7.59
1.67,Premium,I,VS1,11400,7.69
0.7,Very Good,H,SI1,2048,5.61
1.5,Very Good,E,SI1,11325,7.42
0.28,Very Good,G,VS2,492,4.21
0.3,Good,G,VS2,526,4.24
0.56,Ideal,G,VVS2,2081,5.32
0.31,Ideal,D,VS1,713,4.36
0.3,Premium,E,VS2,844,4.26
1.21,Very Good,H,SI2,5324,6.7
1.2,Premium,H,SI1,5746,6.78
0.96,Fair,G,I1,2068,6.16
0.54,Ideal,F,VS1,1724,5.24
0.33,Ideal,F,VVS1,893,4.47
1.06,Premium,J,SI2,3740,6.59
1.07,Ideal,G,VS2,6471,6.55
1.52,Ideal,E,SI1,12907,7.36
0.32,Ideal,G,SI1,612,4.38
1.05,Very Good,E,VS1,7969,6.49
0.71,Premium,I,VS1,2202,5.75
1.09,Premium,H,SI2,4395,6.63
1.0,Fair,G,SI2,3541,6.24
1.08,Very Good,H,VS2,5155,6.5
0.9,Premium,F,SI1,4103,6.11
0.75,Premium,E,SI1,2760,6.0
0.23,Very Good,D,VS2,402,3.92
0.32,Ideal,G,VS2,580,4.39
0.34,Ideal,G,VS2,596,4.46
0.3,Premium,D,SI2,574,4.29
1.7,Ideal,E,SI1,14623,7.71
0.53,Ideal,G,VS2,1607,5.24
2.03,Premium,J,SI2,12078,8.18
0.7,Premium,G,VS2,2550,5.63
0.75,Ideal,G,SI1,2456,5.8
0.31,Ideal,D,VVS2,840,4.37
0.32,Very Good,J,SI1,480,4.36
0.9,Premium,E,SI2,3856,6.24
0.39,Premium,G,VS2,787,4.68
0.71,Premium,G,VS2,2443,5.79
0.31,Ideal,G,IF,988,4.39
0.7,Premium,F,SI1,2504,5.64
0.3,Ideal,I,VS1,454,4.28
1.3,Premium,D,SI2,7044,6.98
2.0,Ideal,I,VS1,12907,8.08
0.71,Ideal,E,VS2,2709,5.73
1.31,Premium,H,SI1,7395,7.18
1.01,Ideal,F,VVS2,8971,6.43
0.51,Premium,E,VS1,1989,5.13
1.5,Very Good,J,VS2,7308,7.32
0.51,Very Good,E,SI1,1284,5.06
0.74,Premium,D,SI1,2655,5.88
1.43,Fair,E,SI1,7928,7.1
0.9,Premium,I,VS1,3145,6.3
0.91,Premium,H,VS2,3963,6.22
0.76,Good,G,VS1,3121,5.86
1.06,Premium,I,SI1,4155,6.47
0.55,Very Good,D,SI1,1580,5.24
0.34,Premium,G,VS2,765,4.49
1.22,Very Good,G,VS1,9261,6.85
1.51,Premium,F,VS2,15253,7.52
0.5,Ideal,D,SI1,1654,5.1
1.17,Good,I,SI1,4586,6.91
1.17,Premium,I,SI1,4914,6.71
0.8,Good,E,VS2,3365,5.82
0.42,Ideal,D,VS1,1350,4.8
0.71,Premium,G,SI1,2283,5.69
0.8,Fair,G,SI2,2246,5.96
0.31,Ideal,G,VVS1,789,4.39
0.73,Premium,F,VS2,2882,5.97
1.21,Ideal,F,VS2,8557,6.82
0.3,Premium,G,VVS1,1013,4.35
0.77,Premium,E,VS2,3234,5.98
1.61,Premium,I,SI1,8978,7.46
0.55,Premium,E,SI2,1269,5.33
0.72,Premium,J,VS2,1944,5.76
0.37,Premium,H,VS1,833,4.63
0.3,Premium,G,VS1,605,4.3
1.55,Ideal,J,SI2,6805,7.42
0.37,Premium,F,VVS2,948,4.58
0.31,Premium,H,VS1,698,4.34
0.55,Ideal,F,SI2,1183,5.26
1.02,Premium,G,VS2,6301,6.41
0.23,Very Good,F,VVS2,583,3.94
1.01,Good,I,I1,2844,6.35
0.33,Premium,F,VS2,666,4.45
0.7,Fair,E,SI1,2697,5.61
0.62,Fair,F,VVS2,2088,5.65
0.32,Good,D,SI1,756,4.37
0.74,Ideal,I,SI1,2769,5.82
0.52,Ideal,H,VVS1,1809,5.17
0.95,Very Good,H,SI2,3335,6.38
0.51,Very Good,E,SI2,1265,5.21
0.32,Ideal,G,VS1,645,4.37
1.02,Premium,G,VS2,5250,6.4
0.77,Premium,E,VS1,3260,5.95
1.13,Very Good,F,SI1,5017,6.72
0.41,Premium,F,SI1,755,4.82
0.63,Ideal,J,SI1,1565,5.47
0.77,Ideal,D,VS2,3721,5.84
0.31,Premium,G,VVS1,816,4.33
0.71,Ideal,G,SI1,2386,5.76
1.2,Ideal,E,SI2,5494,6.9
1.01,Premium,G,VS1,6499,6.38
0.3,Very Good,G,VVS2,684,4.29
0.7,Ideal,D,SI2,2553,5.68
0.51,Premium,G,VS2,1443,5.17
0.32,Very Good,H,VS1,561,4.38
1.23,Very Good,E,VVS1,15878,6.9
0.51,Ideal,G,VS1,1708,5.13
0.3,Ideal,E,VS2,844,4.35
0.71,Ideal,G,SI1,2649,5.73
0.3,Premium,D,SI2,574,4.31
0.77,Ideal,E,SI1,3827,5.92
0.26,Very Good,D,VVS2,597,4.21
1.51,Ideal,I,VS2,9297,7.28
0.55,Premium,F,SI1,1410,5.31
2.25,Premium,J,SI1,16004,8.46
1.68,Premium,G,VS1,13445,7.89
1.09,Ideal,F,IF,11888,6.59
0.5,Ideal,F,SI2,1079,5.09
1.04,Good,F,VS1,7399,6.41
1.01,Premium,E,SI2,4371,6.42
0.31,Ideal,J,VS1,429,4.34
1.23,Premium,I,VS2,6206,6.95
1.51,Good,I,SI1,8097,7.11
0.31,Ideal,H,SI1,464,4.36
0.34,Premium,E,SI2,477,4.55
1.21,Good,H,SI1,6022,6.98
2.04,Ideal,J,SI1,12554,8.29
0.56,Very Good,G,SI1,1361,5.28
0.92,Good,G,SI2,2677,6.19
1.51,Premium,I,SI2,7292,7.31
0.42,Premium,E,SI1,722,4.82
0.85,Very Good,E,VS2,3997,5.97
0.59,Ideal,G,VS2,1774,5.36
0.42,Ideal,F,VS1,1031,4.84
0.4,Good,F,VVS1,1080,4.71
0.25,Very Good,G,VVS1,525,4.12
0.28,Ideal,H,IF,586,4.14
0.71,Good,G,VS1,2628,5.85
0.55,Very Good,F,VS2,1777,5.25
0.52,Premium,E,SI1,1369,5.2
0.71,Ideal,D,VS2,3321,5.71
1.0,Ideal,F,SI2,4452,6.46
0.31,Ideal,E,SI1,595,4.39
1.52,Premium,E,VS1,16628,7.38
0.7,Ideal,D,VVS2,4369,5.69
0.91,Ideal,E,SI1,3665,6.26
1.22,Very Good,G,VVS2,9706,6.97
1.2,Premium,F,SI1,7282,6.92
0.5,Very Good,D,VS2,1627,5.05
1.46,Premium,D,SI2,8683,7.32
2.21,Premium,H,SI2,14299,8.35
0.34,Good,D,SI1,626,4.44
1.05,Premium,H,SI2,3352,6.54
0.73,Premium,H,SI2,1699,5.83
0.52,Ideal,G,VVS2,1957,5.18
2.06,Ideal,H,SI2,11040,8.1
1.51,Very Good,H,VS2,12108,7.28
2.0,Fair,I,SI2,10833,7.96
1.11,Good,D,SI2,5015,6.77
1.01,Premium,F,VVS2,8688,6.45
0.31,Ideal,D,VS2,942,4.36
0.4,Ideal,H,SI2,540,4.7
1.51,Ideal,J,VS1,8067,7.35
0.58,Ideal,D,SI2,1356,5.4
1.0,Good,D,SI2,4065,6.21
0.3,Fair,F,VS2,729,4.44
0.82,Very Good,J,SI2,2175,5.93
0.71,Very Good,E,VS2,2630,5.87
0.44,Good,J,VS1,694,4.82
1.05,Premium,G,SI2,3828,6.58
2.52,Premium,H,SI2,17522,8.72
0.61,Premium,E,SI1,1812,5.51
0.4,Good,E,SI1,687,4.65
0.28,Ideal,F,SI1,481,4.26
0.34,Ideal,E,VS2,745,4.46
0.42,Ideal,D,SI1,1040,4.83
1.25,Ideal,H,SI2,6030,6.89
1.05,Very Good,H,SI2,4112,6.38
1.11,Premium,I,SI1,3978,6.63
1.02,Ideal,G,VVS2,8107,6.56
0.81,Ideal,F,SI1,3422,6.01
0.71,Very Good,I,VS2,2384,5.72
0.3,Ideal,D,VS1,718,4.34
0.42,Ideal,H,IF,1216,4.79
1.14,Very Good,D,SI1,7106,6.7
1.04,Very Good,F,SI2,4364,6.46
0.41,Ideal,G,SI1,923,4.78
0.83,Ideal,H,SI2,1863,6.08
1.55,Ideal,G,SI2,9530,7.54
0.9,Fair,D,SI2,3205,6.0
1.16,Premium,H,SI1,5091,6.73
0.59,Ideal,I,VS1,1401,5.41
1.53,Premium,J,IF,9596,7.45
0.91,Premium,H,VS2,3921,6.25
0.29,Very Good,F,VVS2,664,4.29
0.75,Premium,F,VS2,2835,6.04
0.93,Good,D,SI2,4165,6.22
1.12,Premium,F,SI2,4570,6.73
0.41,Ideal,E,SI1,711,4.78
0.56,Very Good,G,SI1,1408,5.32
0.45,Ideal,G,VVS1,1297,4.91
1.0,Premium,D,SI1,5096,6.4
0.57,Premium,D,VS2,2047,5.32
0.57,Ideal,G,VS2,1728,5.35
1.23,Very Good,I,SI1,5763,6.9
1.06,Very Good,G,VS2,6212,6.64
0.52,Ideal,E,VS2,1576,5.18
0.7,Ideal,D,VS1,3287,5.64
0.3,Ideal,E,VS2,658,4.29
0.9,Very Good,F,SI2,3770,6.14
1.2,Premium,F,VS2,8796,6.77
0.34,Premium,G,VS2,765,4.53
0.73,Premium,I,VS2,2246,5.81
0.33,Premium,G,VVS2,965,4.43
1.07,Very Good,G,VS2,6525,6.49
0.4,Good,D,SI2,798,4.71
1.2,Very Good,G,VS1,8150,6.84
1.15,Premium,I,SI1,4637,6.77
0.31,Ideal,D,VVS2,815,4.38
0.7,Premium,G,VS1,2535,5.74
0.4,Very Good,G,VS1,760,4.76
1.01,Very Good,E,SI1,5416,6.41
1.2,Premium,H,SI1,6282,6.9
0.31,Good,E,VVS1,725,4.32
0.27,Very Good,G,IF,566,4.2
1.23,Very Good,H,VVS1,8405,6.77
0.51,Premium,G,SI2,1052,5.2
0.39,Ideal,F,SI1,919,4.69
1.2,Ideal,I,SI2,4890,6.95
0.91,Good,H,VS1,4298,6.12
1.22,Premium,E,SI2,6237,6.81
0.27,Very Good,E,VS2,470,4.13
0.52,Ideal,F,VS2,1625,5.19
1.01,Premium,F,VS1,7982,6.48
0.3,Ideal,H,VS2,491,4.28
1.51,Good,H,VS2,10000,7.25
0.33,Premium,I,VVS2,743,4.45
1.07,Ideal,G,VVS2,8393,6.51
0.61,Premium,D,SI1,1614,5.37
0.83,Ideal,E,SI1,4024,6.05
1.12,Ideal,D,I1,4139,6.73
0.78,Good,E,SI2,2379,5.84
1.61,Very Good,J,SI1,7695,7.45
0.27,Very Good,G,VS1,439,4.19
0.55,Ideal,F,VS2,1580,5.28
0.31,Very Good,E,SI1,698,4.31
0.4,Ideal,E,VVS2,1106,4.71
0.9,Ideal,F,VS2,4531,6.22
0.81,Ideal,G,VS1,3544,5.99
0.32,Premium,F,VVS1,990,4.35
0.39,Ideal,D,VVS2,1212,4.65
0.34,Ideal,H,SI1,526,4.54
1.02,Premium,G,VS2,5581,6.48
1.23,Ideal,I,VS2,6817,6.81
0.62,Very Good,F,VS2,2041,5.55
1.51,Premium,F,SI1,11957,7.32
0.46,Ideal,J,VVS1,1018,4.97
0.9,Premium,I,VS1,3484,6.09
0.41,Very Good,I,VVS2,811,4.77
1.01,Very Good,G,SI1,5051,6.29
1.01,Very Good,H,SI1,4836,6.34
0.51,Ideal,F,SI2,1191,5.19
0.41,Premium,F,SI2,830,4.83
